image_path,breed,label
cattle\Purnea\image_259x194_17 (4).jpg,Purnea,35
cattle\Gir\Gir_8.jPG,Gir,8
cattle\Bargur\Bargur_59.jpg,Bargur,4
cattle\siri\image_257x196_46.jpg,siri,58
cattle\Amritmahal\image_215x203_51.jpg,Amritmahal,1
cattle\gangatari\Screenshot 2025-09-24 191519.png,gangatari,50
cattle\Brown_Swiss\Brown_Swiss_78.jpg,Brown_Swiss,5
cattle\Shweta Kapila\image_200x252_60.jpg,Shweta Kapila,41
cattle\Punganur\image_225x225_47.jpg,Punganur,34
cattle\Umblachery\image_259x194_13 (2).jpg,Umblachery,44
cattle\Jaffrabadi\Jaffrabadi_99.jpg,Jaffrabadi,14
cattle\thutho\image_259x194_6.jpg,thutho,59
cattle\Alambadi\Alambadi_1.png,Alambadi,0
cattle\Khariar\image_168x300_2 (2).jpg,Khariar,19
cattle\Red_Sindhi\Red_Sindhi_164.jpg,Red_Sindhi,39
cattle\bhelai\Screenshot 2025-09-24 183006.png,bhelai,48
cattle\Dangi\00000181.jpg,Dangi,6
cattle\Murrah\Murrah_39.jpeg,Murrah,28
cattle\Vechur\00000047.jpeg,Vechur,45
cattle\Amritmahal\Amritmahal_14.png,Amritmahal,1
cattle\ponwar\image_299x168_15.jpg,ponwar,57
cattle\Krishna_Valley\Krishna_Valley_107.jpg,Krishna_Valley,23
cattle\nagori\image_259x194_25.jpg,nagori,56
cattle\Jersey\Jersey_111.jpg,Jersey,15
cattle\Bargur\image_225x225_53.jpg,Bargur,4
cattle\Toda\Toda_104.jpg,Toda,43
cattle\Kankrej\Kankrej_96.jpg,Kankrej,17
cattle\Murrah\Murrah_85.png,Murrah,28
cattle\Kosali\image_195x259_1.jpg,Kosali,22
cattle\Khillari\Khillari_4.png,Khillari,20
cattle\dagri\image_259x194_3 (2).jpg,dagri,49
cattle\bachaur\image_259x194_5.jpg,bachaur,46
cattle\Nagpuri\Nagpuri_179.jpg,Nagpuri,29
cattle\Kangayam\Kangayam_71.jpg,Kangayam,16
cattle\Guernsey\Guernsey_106.jpg,Guernsey,9
cattle\Toda\Toda_65.jpg,Toda,43
cattle\Red kandhari\image_168x300_42.jpg,Red kandhari,37
cattle\Ongole\Ongole_157.jpg,Ongole,31
cattle\Banni\00000014.png,Banni,3
cattle\thutho\image_259x194_19.jpg,thutho,59
cattle\Red_Dane\Red_Dane_167.jpg,Red_Dane,38
cattle\Kosali\image_299x168_7.jpg,Kosali,22
cattle\Kosali\image_259x194_17 (2).jpg,Kosali,22
cattle\Krishna_Valley\Krishna_Valley_87.jpg,Krishna_Valley,23
cattle\Kankrej\Kankrej_92.jpg,Kankrej,17
cattle\Jersey\Jersey_145.jpg,Jersey,15
cattle\Nari\image_229x220_31.jpg,Nari,30
cattle\motu\image_276x183_52.jpg,motu,55
cattle\Purnea\image_259x194_23.jpg,Purnea,35
cattle\Purnea\image_299x169_50 (2).jpg,Purnea,35
cattle\ponwar\image_279x181_39.jpg,ponwar,57
cattle\Ongole\Ongole_140.jpg,Ongole,31
cattle\Purnea\image_225x225_40.jpg,Purnea,35
cattle\dagri\image_225x225_22.jpg,dagri,49
cattle\bachaur\image_225x224_14.jpg,bachaur,46
cattle\Sahiwal\Sahiwal_189.jpg,Sahiwal,40
cattle\Sahiwal\Sahiwal_347.png,Sahiwal,40
cattle\Amritmahal\image_236x135_69.jpg,Amritmahal,1
cattle\siri\image_205x164_30.jpg,siri,58
cattle\Lakhimi\image_194x259_41.jpg,Lakhimi,25
cattle\Hariana\Hariana_11.png,Hariana,11
cattle\ponwar\image_194x260_51.jpg,ponwar,57
cattle\Mewati\image_259x194_21 (2).jpg,Mewati,27
cattle\Kenkatha\image_225x225_32.jpg,Kenkatha,18
cattle\Hariana\Hariana_110.png,Hariana,11
cattle\Hariana\Hariana_80.jpg,Hariana,11
cattle\Kankrej\Kankrej_102.jpg,Kankrej,17
cattle\Kangayam\image_201x251_30.jpg,Kangayam,16
cattle\thutho\image_259x194_13 (3).jpg,thutho,59
cattle\Umblachery\Umblachery_67.png,Umblachery,44
cattle\Ayrshire\Ayrshire_115.jpg,Ayrshire,2
cattle\Kenkatha\image_259x194_17.jpg,Kenkatha,18
cattle\Punganur\INDIAN_COWS_BREED_LIKE_PUNGANUR_COW_.jpg,Punganur,34
cattle\nagori\image_259x194_47.jpg,nagori,56
cattle\Nari\image_225x225_30.jpg,Nari,30
cattle\Sahiwal\Sahiwal_240.jpg,Sahiwal,40
cattle\Brown_Swiss\Brown_Swiss_183.jpg,Brown_Swiss,5
cattle\Himachali Pahari\Murrah_Buffalo_Supplier_In_Himachal_.jpg,Himachali Pahari,12
cattle\Murrah\Murrah_12.jpg,Murrah,28
cattle\malvi\image_266x190_42.jpg,malvi,54
cattle\Purnea\image_259x194_10 (4).jpg,Purnea,35
cattle\Vechur\Screenshot (275).png,Vechur,45
cattle\Holstein_Friesian\Holstein_Friesian_224.jpg,Holstein_Friesian,13
cattle\Mewati\Visually_searched_image (5).jpg,Mewati,27
cattle\Khariar\image_256x197_5.jpg,Khariar,19
cattle\Purnea\Visually_searched_image (2).jpg,Purnea,35
cattle\Vechur\00000176.jpg,Vechur,45
cattle\Kosali\image_201x251_3.jpg,Kosali,22
cattle\Kosali\image_259x194_16 (2).jpg,Kosali,22
cattle\motu\image_256x197_6.jpg,motu,55
cattle\Punganur\image_299x168_15.jpg,Punganur,34
cattle\Tharparkar\Tharparkar_30.jpg,Tharparkar,42
cattle\Deoni\Deoni_72.png,Deoni,7
cattle\Kankrej\Kankrej_50.png,Kankrej,17
cattle\Hallikar\Hallikar_54.png,Hallikar,10
cattle\Holstein_Friesian\Holstein_Friesian_287.jpg,Holstein_Friesian,13
cattle\Gir\Gir_256.jpg,Gir,8
cattle\motu\image_259x194_25 (2).jpg,motu,55
cattle\Ayrshire\Ayrshire_233.jpg,Ayrshire,2
cattle\Amritmahal\Amritmahal_94.jpg,Amritmahal,1
cattle\Nari\image_200x134_68.jpg,Nari,30
cattle\Gir\Gir_218.jpg,Gir,8
cattle\Kankrej\Kankrej_30.png,Kankrej,17
cattle\Kosali\image_201x251_1.jpg,Kosali,22
cattle\bhelai\ezgif-frame-089.jpg,bhelai,48
cattle\Umblachery\Umblachery_4.jpg,Umblachery,44
cattle\Sahiwal\Sahiwal_437.jpg,Sahiwal,40
cattle\Kankrej\Kankrej_133.jpg,Kankrej,17
cattle\Konkan Kapila\Visually_searched_image.jpg,Konkan Kapila,21
cattle\Hallikar\Hallikar_45.png,Hallikar,10
cattle\ghumsari\image_168x300_5.jpg,ghumsari,52
cattle\Purnea\image_273x185_55.jpg,Purnea,35
cattle\motu\image_194x259_50.jpg,motu,55
cattle\Pulikulam\Pulikulam_111.jpg,Pulikulam,33
cattle\Murrah\Murrah_4.jpg,Murrah,28
cattle\Murrah\Murrah_143.jpg,Murrah,28
cattle\badri\image_168x300_10.jpg,badri,47
cattle\Holstein_Friesian\Holstein_Friesian_112.jpg,Holstein_Friesian,13
cattle\nagori\image_209x242_44.jpg,nagori,56
cattle\Purnea\image_299x168_54.jpg,Purnea,35
cattle\Krishna_Valley\Krishna_Valley_50.jpg,Krishna_Valley,23
cattle\kherigarh\image_257x196_5.jpg,kherigarh,53
cattle\Sahiwal\Sahiwal_86.jpg,Sahiwal,40
cattle\Banni\00000132.jpg,Banni,3
cattle\Punganur\Punganur_Cow_ (2).jpg,Punganur,34
cattle\siri\image_262x193_43.jpg,siri,58
cattle\Dangi\Screenshot (364).png,Dangi,6
cattle\nagori\image_225x225_40.jpg,nagori,56
cattle\Amritmahal\Amritmahal_54.jpg,Amritmahal,1
cattle\Konkan Kapila\image_255x198_1.jpg,Konkan Kapila,21
cattle\ponwar\image_259x194_48.jpg,ponwar,57
cattle\malvi\image_218x231_2.jpg,malvi,54
cattle\Jersey\Jersey_137.jpg,Jersey,15
cattle\siri\image_261x193_45.jpg,siri,58
cattle\Murrah\Murrah_134.jpg,Murrah,28
cattle\Kankrej\Kankrej_107.jpg,Kankrej,17
cattle\Purnea\image_268x188_5.jpg,Purnea,35
cattle\ponwar\image_270x186_42.jpg,ponwar,57
cattle\Red kandhari\image_266x189_17.jpg,Red kandhari,37
cattle\Red_Sindhi\Red_Sindhi_141.png,Red_Sindhi,39
cattle\Krishna_Valley\Krishna_Valley_129.jpg,Krishna_Valley,23
cattle\Khillari\Khillari_89.jpg,Khillari,20
cattle\Rathi\00000223.jpg,Rathi,36
cattle\Shweta Kapila\image_168x299_31.jpg,Shweta Kapila,41
cattle\Kankrej\Kankrej_37.jpg,Kankrej,17
cattle\Hallikar\Hallikar_117.jpg,Hallikar,10
cattle\Kenkatha\image_225x225_26.jpg,Kenkatha,18
cattle\Sahiwal\Sahiwal_47.jpg,Sahiwal,40
cattle\thutho\image_259x194_10.jpg,thutho,59
cattle\Sahiwal\Sahiwal_208.jpeg,Sahiwal,40
cattle\Mewati\image_299x168_53.jpg,Mewati,27
cattle\Sahiwal\Sahiwal_429.jpeg,Sahiwal,40
cattle\motu\image_259x195_1.jpg,motu,55
cattle\Guernsey\Guernsey_97.jpg,Guernsey,9
cattle\Jaffrabadi\Jaffrabadi_102.png,Jaffrabadi,14
cattle\Nagpuri\Nagpuri_154.jpg,Nagpuri,29
cattle\Krishna_Valley\Krishna_Valley_5.jpg,Krishna_Valley,23
cattle\Red_Sindhi\Red_Sindhi_127.png,Red_Sindhi,39
cattle\gaolao\0419.jpg,gaolao,51
cattle\Toda\Toda_74.jpg,Toda,43
cattle\badri\Badri_Cow_Bulls_Long_Horns_Tethered_.jpg,badri,47
cattle\gaolao\Ongole_172.png,gaolao,51
cattle\Tharparkar\Tharparkar_55.jpg,Tharparkar,42
cattle\Konkan Kapila\image_256x197_2.jpg,Konkan Kapila,21
cattle\bachaur\image_259x194_37.jpg,bachaur,46
cattle\Mewati\image_225x225_38.jpg,Mewati,27
cattle\Holstein_Friesian\Holstein_Friesian_217.jpg,Holstein_Friesian,13
cattle\Banni\00000075.jpg,Banni,3
cattle\dagri\image_265x190_2.jpg,dagri,49
cattle\siri\image_270x187_30.jpg,siri,58
cattle\Kankrej\Kankrej_60.png,Kankrej,17
cattle\ponwar\image_259x194_17 (2).jpg,ponwar,57
cattle\Red kandhari\image_275x183_16 (2).jpg,Red kandhari,37
cattle\siri\image_259x194_6.jpg,siri,58
cattle\Kosali\image_194x259_10.jpg,Kosali,22
cattle\gangatari\Screenshot 2025-09-24 191820.png,gangatari,50
cattle\Ayrshire\Ayrshire_105.jpg,Ayrshire,2
cattle\Poda Thirupu\image_168x300_39.jpg,Poda Thirupu,32
cattle\Punganur\image_225x225_52.jpg,Punganur,34
cattle\Gir\Gir_120.jpg,Gir,8
cattle\Gir\Gir_32.jpg,Gir,8
cattle\Pulikulam\Pulikulam_124.jpg,Pulikulam,33
cattle\Kankrej\Kankrej_1.JPG,Kankrej,17
cattle\Khillari\Khillari_5.jpg,Khillari,20
cattle\Tharparkar\Tharparkar_216.jpg,Tharparkar,42
cattle\Kankrej\Kankrej_6.jpg,Kankrej,17
cattle\dagri\image_229x220_27.jpg,dagri,49
cattle\Kangayam\image_223x226_25.jpg,Kangayam,16
cattle\Brown_Swiss\Brown_Swiss_85.jpg,Brown_Swiss,5
cattle\Vechur\Screenshot (269).png,Vechur,45
cattle\Krishna_Valley\Krishna_Valley_67.jpg,Krishna_Valley,23
cattle\Konkan Kapila\image_300x168_2.jpg,Konkan Kapila,21
cattle\Jaffrabadi\Jaffrabadi_36.png,Jaffrabadi,14
cattle\Malnad_gidda\Screenshot (1120).png,Malnad_gidda,26
cattle\Kankrej\Kankrej_23.jpg,Kankrej,17
cattle\Brown_Swiss\Brown_Swiss_138.jpg,Brown_Swiss,5
cattle\Jersey\Jersey_105.jpg,Jersey,15
cattle\siri\image_277x182_32.jpg,siri,58
cattle\Umblachery\image_250x201_56.jpg,Umblachery,44
cattle\siri\image_227x222_62.jpg,siri,58
cattle\thutho\image_316x160_54.jpg,thutho,59
cattle\bhelai\Screenshot 2025-09-24 183240.png,bhelai,48
cattle\Gir\Gir_261.jpg,Gir,8
cattle\Sahiwal\Sahiwal_102.jpg,Sahiwal,40
cattle\Nari\image_168x300_69.jpg,Nari,30
cattle\Holstein_Friesian\Holstein_Friesian_322.jpg,Holstein_Friesian,13
cattle\gaolao\Breeds_of_Cattle_Oklahoma_State_.jpg,gaolao,51
cattle\Hariana\Hariana_75.jpg,Hariana,11
cattle\Sahiwal\Sahiwal_359.png,Sahiwal,40
cattle\Khillari\Khillari_112.png,Khillari,20
cattle\Holstein_Friesian\Holstein_Friesian_201.jpg,Holstein_Friesian,13
cattle\Nagpuri\Nagpuri_69.png,Nagpuri,29
cattle\Sahiwal\Sahiwal_247.jpeg,Sahiwal,40
cattle\Ayrshire\Ayrshire_90.jpg,Ayrshire,2
cattle\nagori\image_205x164_63.jpg,nagori,56
cattle\Umblachery\image_300x168_43 (3).jpg,Umblachery,44
cattle\Purnea\image_208x242_46.jpg,Purnea,35
cattle\Rathi\00000129.jpg,Rathi,36
cattle\Kankrej\Kankrej_87.jpg,Kankrej,17
cattle\Guernsey\Guernsey_110.jpg,Guernsey,9
cattle\Alambadi\Alambadi_76.png,Alambadi,0
cattle\Hariana\Hariana_54.jpg,Hariana,11
cattle\Toda\Toda_37.jpg,Toda,43
cattle\Ayrshire\Ayrshire_116.jpg,Ayrshire,2
cattle\badri\Types_of_Desi_Cow_Breeds_in_India_ (1).jpg,badri,47
cattle\Banni\00000272.jpg,Banni,3
cattle\Rathi\00000296.jpg,Rathi,36
cattle\Sahiwal\Sahiwal_424.jpg,Sahiwal,40
cattle\Hallikar\Hallikar_179.png,Hallikar,10
cattle\Kankrej\Kankrej_130.jpg,Kankrej,17
cattle\Amritmahal\Amritmahal_5.jpg,Amritmahal,1
cattle\Holstein_Friesian\Holstein_Friesian_124.jpg,Holstein_Friesian,13
cattle\Pulikulam\Pulikulam_3.JPG,Pulikulam,33
cattle\Nari\image_245x205_33.jpg,Nari,30
cattle\Holstein_Friesian\Holstein_Friesian_302.jpg,Holstein_Friesian,13
cattle\Hariana\Hariana_10.png,Hariana,11
cattle\Malnad_gidda\00000112.JPG,Malnad_gidda,26
cattle\Ongole\Ongole_9.jpg,Ongole,31
cattle\Hallikar\Hallikar_182.jpg,Hallikar,10
cattle\gangatari\image_238x211_49.jpg,gangatari,50
cattle\thutho\image_259x195_24.jpg,thutho,59
cattle\Sahiwal\Sahiwal_55.jpg,Sahiwal,40
cattle\Bargur\Bargur_67.jpeg,Bargur,4
cattle\thutho\image_259x194_36.jpg,thutho,59
cattle\Vechur\00000393.jpg,Vechur,45
cattle\Mewati\image_194x259_39.jpg,Mewati,27
cattle\Konkan Kapila\image_251x201_6.jpg,Konkan Kapila,21
cattle\Hariana\Hariana_16.jpg,Hariana,11
cattle\ghumsari\image_225x225_42.jpg,ghumsari,52
cattle\Holstein_Friesian\Holstein_Friesian_166.jpg,Holstein_Friesian,13
cattle\gangatari\UP-_ (4).jpg,gangatari,50
cattle\Ladakhi\image_259x194_17.jpg,Ladakhi,24
cattle\Kosali\image_168x300_2 (2).jpg,Kosali,22
cattle\motu\image_300x168_45.jpg,motu,55
cattle\Malnad_gidda\Screenshot (1153).png,Malnad_gidda,26
cattle\Brown_Swiss\Brown_Swiss_141.jpg,Brown_Swiss,5
cattle\Nari\image_168x300_58 (2).jpg,Nari,30
cattle\Punganur\image_300x168_9.jpg,Punganur,34
cattle\Red_Sindhi\Red_Sindhi_84.jpg,Red_Sindhi,39
cattle\Nagpuri\Nagpuri_145.jpg,Nagpuri,29
cattle\bhelai\Screenshot 2025-09-24 183447.png,bhelai,48
cattle\Dangi\image_331x152_52.jpg,Dangi,6
cattle\bhelai\Screenshot 2025-09-24 182755.png,bhelai,48
cattle\Mewati\image_299x168_34.jpg,Mewati,27
cattle\gangatari\image_300x168_59.jpg,gangatari,50
cattle\thutho\image_225x225_51.jpg,thutho,59
cattle\Nagpuri\Nagpuri_144.png,Nagpuri,29
cattle\Holstein_Friesian\Holstein_Friesian_139.jpg,Holstein_Friesian,13
cattle\Kankrej\Kankrej_55.png,Kankrej,17
cattle\motu\image_272x185_53.jpg,motu,55
cattle\motu\image_217x232_43.jpg,motu,55
cattle\Dangi\image_259x195_2.jpg,Dangi,6
cattle\Gir\Gir_67.jpg,Gir,8
cattle\Jersey\Jersey_68.jpg,Jersey,15
cattle\bhelai\_.jpg,bhelai,48
cattle\Sahiwal\Sahiwal_48.jpg,Sahiwal,40
cattle\Umblachery\Umblachery_45.png,Umblachery,44
cattle\motu\image_300x168_59.jpg,motu,55
cattle\bhelai\Screenshot 2025-09-24 180934.png,bhelai,48
cattle\Ongole\Ongole_142.jpg,Ongole,31
cattle\Mewati\image_259x194_18.jpg,Mewati,27
cattle\Kenkatha\image_201x251_49.jpg,Kenkatha,18
cattle\Kenkatha\image_225x224_32.jpg,Kenkatha,18
cattle\Khillari\Khillari_106.jpg,Khillari,20
cattle\Umblachery\Umblachery_47.png,Umblachery,44
cattle\Ayrshire\Ayrshire_149.jpg,Ayrshire,2
cattle\Mewati\image_168x300_49.jpg,Mewati,27
cattle\Toda\Toda_115.jpg,Toda,43
cattle\Nagpuri\Nagpuri_131.png,Nagpuri,29
cattle\Holstein_Friesian\Holstein_Friesian_278.jpg,Holstein_Friesian,13
cattle\Himachali Pahari\image_259x195_2.jpg,Himachali Pahari,12
cattle\Red kandhari\image_260x194_7.jpg,Red kandhari,37
cattle\badri\the_9_new_desi_breeds_of_livestock_ICAR_.jpg,badri,47
cattle\thutho\image_278x181_54.jpg,thutho,59
cattle\Red kandhari\image_304x166_53.jpg,Red kandhari,37
cattle\ghumsari\image_225x225_43.jpg,ghumsari,52
cattle\Bargur\Bargur_62.jpg,Bargur,4
cattle\Kangayam\image_226x223_8.jpg,Kangayam,16
cattle\Brown_Swiss\Brown_Swiss_45.jpg,Brown_Swiss,5
cattle\ponwar\image_259x194_26 (2).jpg,ponwar,57
cattle\Poda Thirupu\image_299x168_11.jpg,Poda Thirupu,32
cattle\Brown_Swiss\Brown_Swiss_196.jpg,Brown_Swiss,5
cattle\Sahiwal\Sahiwal_101.jpg,Sahiwal,40
cattle\Kangayam\image_205x277_43.jpg,Kangayam,16
cattle\Shweta Kapila\image_225x225_50.jpg,Shweta Kapila,41
cattle\Holstein_Friesian\Holstein_Friesian_177.jpg,Holstein_Friesian,13
cattle\ghumsari\image_194x259_3.jpg,ghumsari,52
cattle\Brown_Swiss\Brown_Swiss_222.jpg,Brown_Swiss,5
cattle\Red kandhari\image_275x183_17 (2).jpg,Red kandhari,37
cattle\Hallikar\Hallikar_27.png,Hallikar,10
cattle\Umblachery\Visually_searched_image (3).jpg,Umblachery,44
cattle\dagri\indigenous_livestock_breeds_.jpg,dagri,49
cattle\Krishna_Valley\Krishna_Valley_75.jpg,Krishna_Valley,23
cattle\Gir\Gir_74.jpg,Gir,8
cattle\Holstein_Friesian\Holstein_Friesian_104.jpg,Holstein_Friesian,13
cattle\Tharparkar\Tharparkar_115.jpg,Tharparkar,42
cattle\Toda\Toda_84.jpg,Toda,43
cattle\Hallikar\Hallikar_169.png,Hallikar,10
cattle\Amritmahal\Amritmahal_69.jpg,Amritmahal,1
cattle\Hallikar\Hallikar_165.jpeg,Hallikar,10
cattle\Bargur\Bargur_75.jpg,Bargur,4
cattle\Holstein_Friesian\Holstein_Friesian_15.jpg,Holstein_Friesian,13
cattle\Hariana\Hariana_87.png,Hariana,11
cattle\Red_Dane\Red_Dane_5.jpg,Red_Dane,38
cattle\malvi\image_259x194_30.jpg,malvi,54
cattle\Bargur\image_225x225_54.jpg,Bargur,4
cattle\Holstein_Friesian\Holstein_Friesian_167.jpg,Holstein_Friesian,13
cattle\kherigarh\image_300x168_1 (2).jpg,kherigarh,53
cattle\Khariar\image_254x198_5.jpg,Khariar,19
cattle\Dangi\Screenshot (372).png,Dangi,6
cattle\Holstein_Friesian\Holstein_Friesian_199.jpg,Holstein_Friesian,13
cattle\nagori\image_277x182_54.jpg,nagori,56
cattle\Konkan Kapila\image_194x259_3 (2).jpg,Konkan Kapila,21
cattle\Sahiwal\Sahiwal_124.jpg,Sahiwal,40
cattle\Jersey\Jersey_82.jpg,Jersey,15
cattle\Sahiwal\Sahiwal_442.jpg,Sahiwal,40
cattle\Vechur\00000371.jpg,Vechur,45
cattle\gaolao\0289.jpg,gaolao,51
cattle\Vechur\00000039.JPG,Vechur,45
cattle\gaolao\Gaolao_Cow_breed_from_Vidharbha_A_dual_ (1).jpg,gaolao,51
cattle\Purnea\image_300x168_49.jpg,Purnea,35
cattle\Himachali Pahari\image_259x195_1.jpg,Himachali Pahari,12
cattle\Guernsey\Guernsey_101.jpg,Guernsey,9
cattle\Purnea\image_266x189_7.jpg,Purnea,35
cattle\Kenkatha\image_168x299_60.jpg,Kenkatha,18
cattle\malvi\image_224x225_12.jpg,malvi,54
cattle\Tharparkar\Tharparkar_205.jpg,Tharparkar,42
cattle\Alambadi\Alambadi_87.png,Alambadi,0
cattle\Holstein_Friesian\Holstein_Friesian_2.jpg,Holstein_Friesian,13
cattle\Kenkatha\image_300x168_51.jpg,Kenkatha,18
cattle\Konkan Kapila\image_168x300_2 (2).jpg,Konkan Kapila,21
cattle\Gir\Gir_36.png,Gir,8
cattle\Shweta Kapila\image_234x215_67.jpg,Shweta Kapila,41
cattle\Ayrshire\Ayrshire_109.jpg,Ayrshire,2
cattle\bhelai\Screenshot 2025-09-24 183150.png,bhelai,48
cattle\Sahiwal\Sahiwal_258.jpg,Sahiwal,40
cattle\nagori\Visually_searched_image (2).jpg,nagori,56
cattle\Kankrej\Kankrej_146.jpg,Kankrej,17
cattle\Khariar\image_168x300_7.jpg,Khariar,19
cattle\malvi\image_168x300_4.jpg,malvi,54
cattle\Nari\image_194x259_19.jpg,Nari,30
cattle\Red kandhari\image_300x168_45.jpg,Red kandhari,37
cattle\Ladakhi\image_233x216_41.jpg,Ladakhi,24
cattle\Ongole\Ongole_76.png,Ongole,31
cattle\siri\image_264x191_63.jpg,siri,58
cattle\Holstein_Friesian\Holstein_Friesian_184.jpg,Holstein_Friesian,13
cattle\Nagpuri\Nagpuri_97.jpg,Nagpuri,29
cattle\ponwar\image_259x194_25.jpg,ponwar,57
cattle\Hariana\Hariana_106.jpg,Hariana,11
cattle\kherigarh\image_275x183_5 (3).jpg,kherigarh,53
cattle\Vechur\Screenshot (260).png,Vechur,45
cattle\malvi\image_225x225_51.jpg,malvi,54
cattle\Ongole\Ongole_54.jpg,Ongole,31
cattle\Kenkatha\image_225x225_47.jpg,Kenkatha,18
cattle\malvi\image_272x185_48.jpg,malvi,54
cattle\Ayrshire\Ayrshire_179.jpg,Ayrshire,2
cattle\Kankrej\Kankrej_173.jpeg,Kankrej,17
cattle\Shweta Kapila\image_225x225_43 (2).jpg,Shweta Kapila,41
cattle\ponwar\image_266x190_40.jpg,ponwar,57
cattle\Sahiwal\Sahiwal_322.jpg,Sahiwal,40
cattle\malvi\image_259x194_33.jpg,malvi,54
cattle\Malnad_gidda\00000004.jpg,Malnad_gidda,26
cattle\Vechur\Screenshot (282).png,Vechur,45
cattle\ghumsari\image_168x300_3 (3).jpg,ghumsari,52
cattle\Konkan Kapila\image_255x198_4.jpg,Konkan Kapila,21
cattle\Ayrshire\Ayrshire_211.jpg,Ayrshire,2
cattle\Mewati\image_259x194_28.jpg,Mewati,27
cattle\Brown_Swiss\Brown_Swiss_69.jpg,Brown_Swiss,5
cattle\Nagpuri\Nagpuri_109.jpg,Nagpuri,29
cattle\thutho\image_259x194_11.jpg,thutho,59
cattle\Himachali Pahari\image_278x181_46.jpg,Himachali Pahari,12
cattle\Gir\Gir_205.jpg,Gir,8
cattle\Guernsey\Guernsey_40.jpg,Guernsey,9
cattle\Punganur\image_168x300_19.jpg,Punganur,34
cattle\Red_Dane\Red_Dane_103.jpg,Red_Dane,38
cattle\Jersey\Jersey_46.jpg,Jersey,15
cattle\Holstein_Friesian\Holstein_Friesian_195.jpg,Holstein_Friesian,13
cattle\Khillari\Khillari_73.png,Khillari,20
cattle\Tharparkar\Tharparkar_175.png,Tharparkar,42
cattle\Kankrej\Kankrej_147.jpg,Kankrej,17
cattle\ghumsari\image_335x150_55.jpg,ghumsari,52
cattle\bhelai\ezgif-frame-076.jpg,bhelai,48
cattle\Bargur\Bargur_88.jpg,Bargur,4
cattle\ghumsari\image_168x299_17.jpg,ghumsari,52
cattle\Gir\Gir_308.jpg,Gir,8
cattle\Red kandhari\image_259x195_48.jpg,Red kandhari,37
cattle\Alambadi\Alambadi_82.jpg,Alambadi,0
cattle\Tharparkar\Tharparkar_170.png,Tharparkar,42
cattle\Gir\Gir_273.jpg,Gir,8
cattle\Ayrshire\Ayrshire_97.jpg,Ayrshire,2
cattle\Dangi\00000173.jpg,Dangi,6
cattle\Lakhimi\image_168x300_11.jpg,Lakhimi,25
cattle\siri\image_291x173_61.jpg,siri,58
cattle\Sahiwal\Sahiwal_334.jpg,Sahiwal,40
cattle\Krishna_Valley\Krishna_Valley_25.jpg,Krishna_Valley,23
cattle\Red_Dane\Red_Dane_49.jpg,Red_Dane,38
cattle\motu\image_300x168_40.jpg,motu,55
cattle\ponwar\image_259x194_8.jpg,ponwar,57
cattle\Rathi\00000155.jpg,Rathi,36
cattle\Holstein_Friesian\Holstein_Friesian_257.jpg,Holstein_Friesian,13
cattle\Nagpuri\Nagpuri_103.png,Nagpuri,29
cattle\Pulikulam\Pulikulam_29.jpg,Pulikulam,33
cattle\Kosali\image_228x221_6.jpg,Kosali,22
cattle\Malnad_gidda\Screenshot (1134).png,Malnad_gidda,26
cattle\Nagpuri\Nagpuri_178.jpg,Nagpuri,29
cattle\Mewati\image_225x225_40.jpg,Mewati,27
cattle\Lakhimi\image_259x194_4.jpg,Lakhimi,25
cattle\Poda Thirupu\image_168x300_39 (2).jpg,Poda Thirupu,32
cattle\ghumsari\image_168x300_9 (3).jpg,ghumsari,52
cattle\gaolao\Gaolao_Cow_breed_from_Vidharbha_A_dual_ (2).jpg,gaolao,51
cattle\Holstein_Friesian\Holstein_Friesian_277.jpg,Holstein_Friesian,13
cattle\Red_Sindhi\Red_Sindhi_7.JPG,Red_Sindhi,39
cattle\Tharparkar\Tharparkar_84.jpg,Tharparkar,42
cattle\Banni\00000052.jpg,Banni,3
cattle\Sahiwal\Sahiwal_59.jpg,Sahiwal,40
cattle\Bargur\Bargur_78.jpg,Bargur,4
cattle\Mewati\image_300x168_30.jpg,Mewati,27
cattle\Purnea\image_221x228_43 (2).jpg,Purnea,35
cattle\Poda Thirupu\image_168x301_1.jpg,Poda Thirupu,32
cattle\Khariar\image_299x168_8.jpg,Khariar,19
cattle\nagori\image_259x194_48.jpg,nagori,56
cattle\Umblachery\image_187x269_47.jpg,Umblachery,44
cattle\Banni\00000157.jpg,Banni,3
cattle\Jaffrabadi\Jaffrabadi_2.png,Jaffrabadi,14
cattle\Punganur\image_50x50_64.jpeg,Punganur,34
cattle\Guernsey\Guernsey_66.jpg,Guernsey,9
cattle\Konkan Kapila\image_168x300_3 (2).jpg,Konkan Kapila,21
cattle\Kenkatha\image_275x183_51.jpg,Kenkatha,18
cattle\Himachali Pahari\image_225x225_2.jpg,Himachali Pahari,12
cattle\Nari\image_275x183_48.jpg,Nari,30
cattle\siri\image_259x194_11.jpg,siri,58
cattle\Brown_Swiss\Brown_Swiss_225.jpg,Brown_Swiss,5
cattle\Nari\image_193x190_63.jpg,Nari,30
cattle\Kangayam\Kangayam_88.png,Kangayam,16
cattle\Kenkatha\image_250x167_45.jpeg,Kenkatha,18
cattle\Rathi\00000016.jpg,Rathi,36
cattle\Jaffrabadi\Jaffrabadi_76.jpg,Jaffrabadi,14
